datelabel,beat,CrimeType,Incidents,Latitude,Longitude
12/13/2014,Q1,Burglary,4,47.65026072,-122.4000072
12/13/2014,D1,Burglary,4,47.62744091,-122.3457073
12/13/2014,M3,Burglary,4,47.60775547,-122.3408984
12/13/2014,D2,Autotheft,4,47.62565397,-122.3313709
12/13/2014,K1,Autotheft,4,47.60775354,-122.3341093
12/13/2014,Q1,Autotheft,4,47.65026072,-122.4000072
10/13/2014,C3,Burglary,5,47.63007879,-122.2920892
10/13/2014,G2,Burglary,5,47.59589351,-122.3066351
10/13/2014,E1,Burglary,5,47.62034695,-122.3244215
10/13/2014,C3,Autotheft,5,47.63007879,-122.2920892
10/13/2014,E2,Robbery,5,47.61184148,-122.3201628
10/13/2014,B1,Burglary,5,47.70977611,-122.3709884
10/13/2014,B2,Burglary,5,47.67905116,-122.39175
10/13/2014,L1,Burglary,5,47.7265467,-122.3026333
10/13/2014,L1,Autotheft,5,47.7265467,-122.3026333
10/13/2014,L2,Autotheft,5,47.70955732,-122.3036621
10/13/2014,U3,Autotheft,5,47.66600663,-122.3122063
10/13/2014,N3,Robbery,5,47.70449976,-122.329962
10/13/2014,R3,Burglary,5,47.55279355,-122.2682133
10/13/2014,S2,Robbery,5,47.52635109,-122.2740975
10/13/2014,S3,Robbery,5,47.50935216,-122.2595453
10/13/2014,F3,Burglary,5,47.52610349,-122.3363907
10/13/2014,W3,Autotheft,5,47.52554975,-122.3845849
10/13/2014,K1,Assault,5,47.60775354,-122.3341093
10/13/2014,M3,Assault,5,47.60775547,-122.3408984
10/13/2014,D2,Burglary,5,47.62565397,-122.3313709
10/13/2014,K1,Burglary,5,47.60775354,-122.3341093
10/13/2014,K2,Burglary,5,47.59989128,-122.3268156
10/13/2014,M3,Burglary,5,47.60775547,-122.3408984
10/13/2014,Q2,Burglary,5,47.64285158,-122.3626752
10/13/2014,D2,Burglary,5,47.62565397,-122.3313709
10/13/2014,M2,Burglary,5,47.61461326,-122.3402772
10/13/2014,Q1,Burglary,5,47.65026072,-122.4000072
10/13/2014,Q1,Autotheft,5,47.65026072,-122.4000072
10/13/2014,K2,Robbery,5,47.59989128,-122.3268156
10/13/2014,K3,Robbery,5,47.59039595,-122.3335465
10/13/2014,M2,Robbery,5,47.61461326,-122.3402772
11/13/2014,C1,Burglary,5,47.63424905,-122.3156873
11/13/2014,G1,Burglary,5,47.60913583,-122.3079013
11/13/2014,C1,Burglary,5,47.63424905,-122.3156873
11/13/2014,G2,Burglary,5,47.59589351,-122.3066351
11/13/2014,G1,Autotheft,5,47.60913583,-122.3079013
11/13/2014,E2,Robbery,5,47.61184148,-122.3201628
11/13/2014,G3,Robbery,5,47.60318104,-122.2924006
11/13/2014,U2,Assault,5,47.65855295,-122.3065966
11/13/2014,B2,Burglary,5,47.67905116,-122.39175
11/13/2014,B3,Burglary,5,47.68129096,-122.3642373
11/13/2014,B3,Burglary,5,47.68129096,-122.3642373
11/13/2014,J1,Burglary,5,47.67680873,-122.337901
11/13/2014,J3,Burglary,5,47.65637666,-122.33647
11/13/2014,L3,Burglary,5,47.68085475,-122.2770349
11/13/2014,L1,Autotheft,5,47.7265467,-122.3026333
11/13/2014,S1,Assault,5,47.54393199,-122.2864787
11/13/2014,S1,Burglary,5,47.54393199,-122.2864787
11/13/2014,R1,Robbery,5,47.57581055,-122.2887105
11/13/2014,W1,Burglary,5,47.57864939,-122.3849859
11/13/2014,F2,Autotheft,5,47.52544871,-122.3658197
11/13/2014,D3,Burglary,5,47.6103476,-122.3286556
11/13/2014,K2,Burglary,5,47.59989128,-122.3268156
11/13/2014,M1,Autotheft,5,47.61575667,-122.3508697
11/13/2014,M3,Autotheft,5,47.60775547,-122.3408984
